"teststat","gene","pFdr"
0.00426027257748431,"IL1RN",0.993029479704196
0.0354728601972936,"IL2RA",0.98714764841694
2.84472333511256,"IL2RB",0.79195283169625
2.30314252051301e-07,"IL2RG",0.999715553440255
0.713213513286112,"IL3RA",0.941511798240489
0.155552336351717,"IL4R",0.978943756281902
0.0276094430935796,"IL6R",0.987853172657534
0.108245689011361,"IL6ST",0.978943756281902
2.56482018228809,"IL7R",0.819125019236529
1.37556229391626,"CXCL8",0.89485799890195
0.182641507154783,"AQP1",0.978943756281902
0.285175626382973,"IL10RA",0.978943756281902
0.00587303651242122,"IL10RB",0.993029479704196
0.0142041278644746,"IL11RA",0.992643710107499
0.127218325188934,"IL13RA1",0.978943756281902
2.97738475819821,"ACADSB",0.789209909056708
0.749911859848849,"IL15",0.93816655781328
0.148407367750616,"IL15RA",0.978943756281902
0.812890686724393,"IL16",0.93816655781328
0.239956385013689,"IL18",0.978943756281902
1.41792660642654,"ILK",0.89485799890195
0.4659614264421,"IMPA1",0.966383115487852
0.00617501181089877,"IMPDH1",0.993029479704196
2.13185433533866,"INHBA",0.83028756835596
0.37548969109506,"INHBB",0.975665541961496
0.0717225925731939,"CXCL10",0.98529231221214
0.56093089810957,"INPP1",0.95039941039008
0.0183340871371971,"INPP4A",0.992576503009029
0.252474730544801,"INPP5A",0.978943756281902
0.0183371597526471,"INPP5B",0.992576503009029
0.000561266449259146,"INPP5D",0.996526815944805
3.14502284137199,"INSR",0.78440499570353
1.83522600364509,"EIF3E",0.858540170825572
0.00921634200911781,"IRAK1",0.993029479704196
1.32493117900656,"ITGA6",0.897568911614212
1.9078620155582,"IRF1",0.844350319629699
0.224485699199389,"IRF3",0.978943756281902
0.00834812865241373,"IRF4",0.993029479704196
0.267461133742692,"IRF5",0.978943756281902
0.0208314122309144,"IRF7",0.992152554884023
1.96588413322931,"IRS1",0.838748898921898
0.172571083080091,"AR",0.978943756281902
2.80703128230269,"ITGA1",0.79195283169625
7.20539095941345,"ITGA2",0.462764810754791
0.18253254272009,"ITGA3",0.978943756281902
0.00118402224188126,"ITGA4",0.995346537676553
0.926013105503458,"ITGA5",0.93137694545857
0.330936727862311,"ITGA7",0.977219395779425
1.77422162303981,"ITGA9",0.861695105344109
1.18645336530446,"ITGAL",0.92078568822759
0.587056047325289,"ITGAM",0.947254995302584
0.153028934310913,"ITGAV",0.978943756281902
0.514696822541916,"ITGAX",0.962835424320177
1.72519630047705,"ITGB1",0.861695105344109
0.823650944494037,"ITGB2",0.935908735926129
2.33434012794897,"ARAF",0.821655919899476
0.966620315727924,"ITGB3",0.93137694545857
1.33661660252941,"ITGB4",0.896954153427671
1.12810566435225,"ITGB5",0.93137694545857
2.30108261121642,"ITGB6",0.821655919899476
0.38692546949088,"ITGB7",0.974021521299913
0.898143214421374,"ITGB8",0.93137694545857
1.09842600754976,"ACADVL",0.93137694545857
0.00132404554758495,"ITK",0.995346537676553
0.0208752108992066,"ITPA",0.992152554884023
0.405222304735389,"ITPK1",0.973966183549664
2.1111037500682,"ITPR1",0.83028756835596
0.0914435325734551,"ITPR3",0.978943756281902
0.375188745643986,"IVD",0.975665541961496
4.30050124596284,"JAK1",0.673663611167472
1.67227658280792,"JAK2",0.861695105344109
0.345258009680438,"JAK3",0.977219395779425
4.72068327981466,"JUN",0.673663611167472
0.632001307897795,"JUNB",0.947254995302584
1.51073101313958,"JUND",0.875804922015203
0.149040035258337,"JUP",0.978943756281902
0.076099957115076,"CD82",0.98529231221214
34.7955583382994,"AREG",3.15990363535627e-05
0.0883684361446422,"KIF7",0.979806254361153
0.0145638770453739,"HDDC3",0.992643710107499
0.0885683401160906,"ARF1",0.979806254361153
3.67654010068122,"AGRN",0.748949257936571
0.322859704717153,"KCNJ2",0.978943756281902
0.937245374994475,"KCNJ3",0.93137694545857
1.24635725330578,"KCNJ8",0.910006627598438
0.128143641733237,"KCNJ11",0.978943756281902
1.44706539145362,"KCNK2",0.887803039734136
0.200135646352504,"KCNMA1",0.978943756281902
0.173191710288608,"KCNQ1",0.978943756281902
0.682375548668229,"KDR",0.944857516609019
0.0627432222776515,"KHK",0.985371713603004
0.11628215477378,"ACAT1",0.978943756281902
0.0144925751140571,"KIT",0.992643710107499
0.0922487069874822,"ARF6",0.978943756281902
1.43222922897562,"KPNA1",0.893377800581079
0.499221954148584,"KRAS",0.962835424320177
0.0560412245865727,"RHOA",0.985794221665268
1.94263753052713,"PEDS1",0.838748898921898
0.664767491901432,"RHOB",0.947254995302584
0.849738791473348,"CCL4L1",0.935888799543029
0.0358248787584896,"L1CAM",0.98714764841694
0.224050716256653,"RHOG",0.978943756281902
7.5846552616717,"LAMC1",0.436675817496269
3.14665264745027,"LAMP1",0.78440499570353
3.53867238131263,"STMN1",0.777650314351931
0.709630309949003,"LBR",0.941511798240489
1.00829556214249,"LCAT",0.93137694545857
0.00356092976039409,"LCK",0.993029479704196
0.0958145217670418,"LCN2",0.978943756281902
0.00901940602325159,"LCP2",0.993029479704196
0.542670771716392,"LDLR",0.952006645431015
0.0812648236490086,"LEPR",0.982618705289835
0.208370005184838,"LFNG",0.978943756281902
1.53794161341096,"ARHGDIA",0.875804922015203
0.0973245721188152,"LIF",0.978943756281902
1.41383365061267,"LIFR",0.89485799890195
0.768216361986044,"LIMK1",0.93816655781328
3.40139821125287,"LIPA",0.777650314351931
1.602925361168,"LIPE",0.867300509341516
2.79957240555077,"LLGL2",0.79195283169625
6.53413005115766,"SHC4",0.543268033553661
0.00157713299871246,"LMNA",0.995346537676553
2.02337856477556,"LMO7",0.837130372373449
0.426116562209877,"CHCHD10",0.967839468428807
2.29320442092697,"LPL",0.821655919899476
0.421963314076757,"LRP1",0.968561355368617
0.332030572307745,"LRP2",0.977219395779425
1.49654903497091,"LRP6",0.875804922015203
0.483273181175289,"LRPAP1",0.962835424320177
0.0966255397650213,"LSP1",0.978943756281902
0.486484291207605,"LSS",0.962835424320177
0.00468249090789997,"LTA4H",0.993029479704196
0.155735322616438,"ARNT",0.978943756281902
0.102575779974589,"LTB",0.978943756281902
1.8613812131956,"LTBP1",0.858540170825572
0.957051521515386,"LTBR",0.93137694545857
0.338660437211777,"BMAL1",0.977219395779425
1.05742451749074,"LUM",0.93137694545857
1.4437247117693,"LYL1",0.888557745609729
0.61103072350256,"LYN",0.947254995302584
0.00529635158916366,"SH2D1A",0.993029479704196
2.83871364574771,"M6PR",0.79195283169625
1.12235819637455,"NBR1",0.93137694545857
0.753568014246025,"ARRB1",0.93816655781328
0.934470069755983,"MARCKS",0.93137694545857
0.200402428629693,"MAD2L1",0.978943756281902
0.0536608810120276,"SMAD1",0.985794221665268
3.14654924666763,"SMAD2",0.78440499570353
0.238690446429135,"SMAD3",0.978943756281902
1.19271633591828,"SMAD4",0.919385595388063
0.449723706131631,"SMAD6",0.966383115487852
1.83385341399651,"SMAD7",0.858540170825572
0.139877476340174,"MAF",0.978943756281902
0.55343736871605,"ARSA",0.95039941039008
0.795968431493044,"ARSB",0.93816655781328
0.0520532377017821,"STS",0.985794221665268
0.174496028398867,"MAN2A2",0.978943756281902
0.0791924204507366,"MAOA",0.983640764433888
1.65559479085666,"MAPT",0.861695105344109
0.000253853234481329,"MARS1",0.998079942606773
0.565034943783364,"IDNK",0.950075849141243
1.56372800726043,"MATK",0.875804922015203
0.0358776857855398,"MAX",0.98714764841694
