base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
701	ENTREZID	10393	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10459	ENTREZID	10393	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
494551	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
9088	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
994	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10912	ENTREZID	5111	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5111	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5111	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5347	ENTREZID	994	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5347	ENTREZID	9088	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
983	ENTREZID	5347	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
85417	ENTREZID	5347	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
51343	ENTREZID	5347	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10393	ENTREZID	5347	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
472	ENTREZID	1111	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
8379	ENTREZID	10459	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
699	ENTREZID	9184	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
8555	ENTREZID	51343	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
8555	ENTREZID	10393	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10971	ENTREZID	994	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7157	ENTREZID	2810	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
2810	ENTREZID	85417	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1111	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1111	ENTREZID	993	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1111	ENTREZID	994	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7157	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	1019	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	1017	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1026	ENTREZID	890	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6502	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
6500	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4087	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4089	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
5591	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4193	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
4193	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
1387	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10744	ENTREZID	9700	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
991	ENTREZID	10744	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
10393	ENTREZID	10744	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
9700	ENTREZID	5885	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
9700	ENTREZID	9126	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
9700	ENTREZID	27127	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
9700	ENTREZID	10274	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
983	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
890	ENTREZID	5925	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
7157	ENTREZID	10912	ENTREZID	Cellular Processes-Cell growth and death-Cell cycle
